"provincia","ciudad","cantidad_medios"
"Córdoba","Córdoba","108.0"
"Córdoba","Río Cuarto","38.0"
"Córdoba","Alcira Gigena","1.0"
"Córdoba","Alta Gracia","6.0"
"Córdoba","Arias","4.0"
"Córdoba","Arroyito","6.0"
"Córdoba","Bell Ville","13.0"
"Córdoba","Calamuchita","3.0"
"Córdoba","Chaján","1.0"
"Córdoba","Coronel Baigorria","1.0"
"Córdoba","Coronel Moldes","2.0"
"Córdoba","Corral de Bustos","4.0"
"Córdoba","Cosquín","2.0"
"Córdoba","Cruz del Eje","8.0"
"Córdoba","Freyre","4.0"
"Córdoba","General Cabrera","1.0"
"Córdoba","Jesús María","7.0"
"Córdoba","La Cumbre","2.0"
"Córdoba","La Falda","8.0"
"Córdoba","Laboulaye","11.0"
"Córdoba","Los Surgentes","1.0"
"Córdoba","Marcos Juárez","12.0"
"Córdoba","Mina Clavero","5.0"
"Córdoba","Reducción","1.0"
"Córdoba","Río Ceballos","8.0"
"Córdoba","Río de los Sauces","1.0"
"Córdoba","Río Tercero","13.0"
"Córdoba","San Francisco","21.0"
"Córdoba","Sierras de Córdoba","1.0"
"Córdoba","Achiras","1.0"
"Córdoba","Ucacha","1.0"
"Córdoba","Villa Allende","2.0"
"Córdoba","Villa Carlos Paz","28.0"
"Córdoba","Villa Dolores","9.0"
"Córdoba","Villa Giardino","2.0"
"Córdoba","Villa María","40.0"
"Córdoba","Morteros","9.0"
"Córdoba","Unquillo","1.0"
"Córdoba","Villa Huidobro","6.0"
"Córdoba","Noetinger","4.0"
"Córdoba","Dean Funes","3.0"
"Córdoba","Los Cóndores","7.0"
"Córdoba","Las Varas","1.0"
"Córdoba","Gral. Cabrera","3.0"
"Córdoba","Pozo del Molle","1.0"
"Córdoba","Adelia María","3.0"
"Córdoba","Serrano","2.0"
"Córdoba","Berrotarán","2.0"
"Córdoba","Los Reartes","1.0"
"Córdoba","Villa Santa Rosa","1.0"
"Córdoba","Villa Valeria","1.0"
"Córdoba","La Carlota","1.0"
"Córdoba","Bengoolea","1.0"
"Córdoba","Va. Gral. Belgrano","2.0"
"Córdoba","Buchardo","1.0"
"Córdoba","Santa Eufemia","2.0"
"Córdoba","Vicuña Mackenna","4.0"
"Córdoba","Brinckmann","1.0"
"Córdoba","Coronel Bustos","1.0"
"Córdoba","Laborde","4.0"
"Córdoba","Oncativo","6.0"
"Córdoba","La Para","2.0"
"Córdoba","Hernando","3.0"
"Córdoba","Alejandro Roca","2.0"
"Córdoba","Colonia Caroya","4.0"
"Córdoba","Morrison","1.0"
"Córdoba","Monte Buey","3.0"
"Córdoba","Pueblo Italiano","1.0"
"Córdoba","James Craik","1.0"
"Córdoba","La Calera","4.0"
"Córdoba","Las Perdices ","1.0"
"Córdoba","Oliva","4.0"
"Córdoba","SR Calamuchita","1.0"
"Córdoba","Embalse","1.0"
"Córdoba","Santa Catalina","1.0"
"Córdoba","Luque","2.0"
"Córdoba","Río Segundo","4.0"
"Córdoba","Inriville","2.0"
"Córdoba","Villa del Rosario","2.0"
"Córdoba","Río Primero","2.0"
"Córdoba","Jovita","1.0"
"Córdoba","Leones","6.0"
"Córdoba","Cplla. Del Monte","2.0"
"Córdoba","Bialet Massé","1.0"
"Córdoba","Gral. Deheza","4.0"
"Córdoba","San Marcos Sierra","1.0"
"Córdoba","Va. Cura Brochero","1.0"
"Córdoba","Ticino","1.0"
"Córdoba","Las Varillas","4.0"
"Córdoba","Los Zorros","1.0"
"Córdoba","Etruria","1.0"
"Córdoba","Italo","1.0"
"Córdoba","Canals","2.0"
"Córdoba","Los Condores","1.0"
"Córdoba","Nono","1.0"
"Córdoba","Cruz Alta","1.0"
"Córdoba","Sampacho","2.0"
"Córdoba","Balnearia","1.0"
"Córdoba","Villa del Totoral","1.0"
"Córdoba","Pascanas","2.0"
"Córdoba","Isla Verde","1.0"
"Córdoba","Justiniano Posse","2.0"
"Córdoba","Laguna Larga","1.0"
"Córdoba","Villa de Soto","1.0"
"Córdoba","Villa Nueva","1.0"
"Córdoba","Huinca Renancó","2.0"
"Córdoba","Ca. San Bartolomé","1.0"
"Córdoba","Los Cocos","1.0"
"Córdoba","Ordóñez","1.0"
"Córdoba","Manfredy","1.0"
"Córdoba","VY de Calamuchita","1.0"
"Córdoba","Marcos Juarez","1.0"
"Córdoba","Porteña","2.0"
"Córdoba","Las Acequias","1.0"
"Córdoba","Huanchilla","1.0"
"Córdoba","Melo","1.0"
"Córdoba","San Basilio","1.0"
"Córdoba","Cplla del Monte","1.0"
"Córdoba","Monte Maíz","1.0"
"Córdoba","Brinkmann","3.0"
"Córdoba","Villa Gral. Belgrano","1.0"
"Córdoba","Ciudad de Córdoba","1.0"
"Córdoba","Sta. Rosa de Calamuchita","1.0"
"Córdoba","Rio Cuarto","1.0"
"Córdoba","San Francisco  ","1.0"
"Córdoba","Barrio Marqués de Sobremonte","1.0"
